curso,periodo,inscritos,vagas,demanda,ano,semestre,unidade
Administração,Noite,88,40,2.2,2025,1,etec-professor-massuyuki-kawano
Contabilidade,Noite,64,40,1.6,2025,1,etec-professor-massuyuki-kawano
Desenho de Construção Civil,Noite,62,40,1.55,2025,1,etec-professor-massuyuki-kawano
Desenvolvimento de Sistemas,Noite,107,40,2.67,2025,1,etec-professor-massuyuki-kawano
Enfermagem,Noite,141,40,3.52,2025,1,etec-professor-massuyuki-kawano
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec,Manhã,152,40,3.8,2025,1,etec-professor-massuyuki-kawano
Ensino Médio com Habilitação Profissional de Técnico em Desenvolvimento de Sistemas - MTec-PI,Manhã e Tarde,152,40,3.8,2025,1,etec-professor-massuyuki-kawano
Ensino Médio com Itinerário Formativo de Ciências da Natureza e suas Tecnologias,Manhã,232,40,5.8,2025,1,etec-professor-massuyuki-kawano
Ensino Médio com Itinerário Formativo de Linguagens e suas Tecnologias,Manhã,152,40,3.8,2025,1,etec-professor-massuyuki-kawano
Ensino Médio com Itinerário Formativo de Matemática e suas Tecnologias,Manhã,120,40,3,2025,1,etec-professor-massuyuki-kawano
Farmácia,Noite,73,40,1.82,2025,1,etec-professor-massuyuki-kawano
