curso,periodo,inscritos,vagas,demanda,ano,semestre,unidade
Administração,Noite,116,40,2.9,2025,1,etec-professora-anna-de-oliveira-ferraz
Enfermagem,Tarde,62,40,1.55,2025,1,etec-professora-anna-de-oliveira-ferraz
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec-PI,Manhã e Tarde,340,40,8.5,2025,1,etec-professora-anna-de-oliveira-ferraz
Ensino Médio com Habilitação Profissional de Técnico em Desenvolvimento de Sistemas - MTec-PI,Manhã e Tarde,300,40,7.5,2025,1,etec-professora-anna-de-oliveira-ferraz
Ensino Médio com Habilitação Profissional de Técnico em Informática para Internet - MTec-PI,Manhã e Tarde,248,40,6.2,2025,1,etec-professora-anna-de-oliveira-ferraz
Ensino Médio com Habilitação Profissional de Técnico em Mecânica - Mtec-N,Noite,75,40,1.87,2025,1,etec-professora-anna-de-oliveira-ferraz
Ensino Médio com Habilitação Profissional de Técnico em Mecatrônica - MTec-PI,Manhã e Tarde,254,40,6.35,2025,1,etec-professora-anna-de-oliveira-ferraz
Ensino Médio com Habilitação Profissional de Técnico em Nutrição e Dietética - Mtec-N,Noite,48,40,1.2,2025,1,etec-professora-anna-de-oliveira-ferraz
Ensino Médio com Habilitação Profissional de Técnico em Recursos Humanos - MTec-N,Noite,53,40,1.32,2025,1,etec-professora-anna-de-oliveira-ferraz
Gastronomia Hospitalar - Especialização,Noite,33,40,0.82,2025,1,etec-professora-anna-de-oliveira-ferraz
Logística,Noite,60,40,1.5,2025,1,etec-professora-anna-de-oliveira-ferraz
Mecatrônica,Noite,137,40,3.42,2025,1,etec-professora-anna-de-oliveira-ferraz
Transações Imobiliárias,Noite,54,40,1.35,2025,1,etec-professora-anna-de-oliveira-ferraz
