curso,periodo,inscritos,vagas,demanda,ano,semestre,unidade
Desenvolvimento de Sistemas,Noite,87,40,2.17,2025,1,etec-rodrigues-de-abreu
Enfermagem,Tarde,92,40,2.29,2025,1,etec-rodrigues-de-abreu
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec-N,Noite,91,40,2.27,2025,1,etec-rodrigues-de-abreu
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec-PI,Manhã e Tarde,254,40,6.35,2025,1,etec-rodrigues-de-abreu
Ensino Médio com Habilitação Profissional de Técnico em Desenvolvimento de Sistemas - MTec-PI,Manhã e Tarde,332,40,8.3,2025,1,etec-rodrigues-de-abreu
Ensino Médio com Habilitação Profissional de Técnico em Informática para Internet - MTec,Tarde,206,40,5.15,2025,1,etec-rodrigues-de-abreu
Ensino Médio com Habilitação Profissional de Técnico em Serviços Jurídicos - MTec,Tarde,156,40,3.9,2025,1,etec-rodrigues-de-abreu
Ensino Médio com Itinerário Formativo de Ciências Humanas e Sociais Aplicadas,Manhã,205,35,5.85,2025,1,etec-rodrigues-de-abreu
Logística,Noite,42,40,1.05,2025,1,etec-rodrigues-de-abreu
Recursos Humanos,Noite,73,40,1.82,2025,1,etec-rodrigues-de-abreu
