curso,periodo,inscritos,vagas,demanda,ano,semestre,unidade
Administração,Noite,58,40,1.45,2025,1,etec-rosa-perrone-scavone
Automação Industrial,Noite,62,40,1.55,2025,1,etec-rosa-perrone-scavone
Desenvolvimento de Sistemas,Tarde,54,40,1.35,2025,1,etec-rosa-perrone-scavone
Eletromecânica,Noite,61,40,1.52,2025,1,etec-rosa-perrone-scavone
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec-PI,Manhã e Tarde,199,40,4.97,2025,1,etec-rosa-perrone-scavone
Ensino Médio com Habilitação Profissional de Técnico em Automação Industrial - MTec-PI,Manhã e Tarde,146,40,3.65,2025,1,etec-rosa-perrone-scavone
Ensino Médio com Habilitação Profissional de Técnico em Desenvolvimento de Sistemas - MTec-PI,Manhã e Tarde,244,40,6.1,2025,1,etec-rosa-perrone-scavone
Ensino Médio com Habilitação Profissional de Técnico em Logística - Mtec-N,Noite,60,40,1.5,2025,1,etec-rosa-perrone-scavone
Ensino Médio com Habilitação Profissional de Técnico em Logística - MTec-PI,Manhã e Tarde,121,40,3.02,2025,1,etec-rosa-perrone-scavone
Recursos Humanos,Noite,43,40,1.07,2025,1,etec-rosa-perrone-scavone
