curso,periodo,inscritos,vagas,demanda,ano,semestre,unidade
Alimentos,Noite,70,40,1.75,2025,1,etec-rubens-de-faria-e-souza
Eletrônica,Noite,68,40,1.7,2025,1,etec-rubens-de-faria-e-souza
Eletrotécnica,Noite,116,40,2.9,2025,1,etec-rubens-de-faria-e-souza
Enfermagem,Tarde,100,30,3.33,2025,1,etec-rubens-de-faria-e-souza
Ensino Médio com Habilitação Profissional de Técnico em Alimentos - MTec,Manhã,354,40,8.85,2025,1,etec-rubens-de-faria-e-souza
Ensino Médio com Habilitação Profissional de Técnico em Eletromecânica - MTec,Tarde,85,40,2.12,2025,1,etec-rubens-de-faria-e-souza
Ensino Médio com Habilitação Profissional de Técnico em Eletrônica - MTec,Manhã,180,40,4.5,2025,1,etec-rubens-de-faria-e-souza
Ensino Médio com Habilitação Profissional de Técnico em Eletrotécnica - MTec,Tarde,80,40,2,2025,1,etec-rubens-de-faria-e-souza
Ensino Médio com Habilitação Profissional de Técnico em Mecânica - MTec,Manhã,171,40,4.27,2025,1,etec-rubens-de-faria-e-souza
Ensino Médio com Habilitação Profissional de Técnico em Mecatrônica - MTec,Manhã,407,40,10.17,2025,1,etec-rubens-de-faria-e-souza
Ensino Médio com Habilitação Profissional de Técnico em Nutrição e Dietética - MTec,Tarde,289,40,7.22,2025,1,etec-rubens-de-faria-e-souza
Ensino Médio com Habilitação Profissional de Técnico em Química - MTec,Manhã,302,40,7.55,2025,1,etec-rubens-de-faria-e-souza
Ensino Médio com Habilitação Profissional de Técnico em Serviços Jurídicos - MTec,Manhã,470,40,11.75,2025,1,etec-rubens-de-faria-e-souza
Mecânica,Noite,106,40,2.65,2025,1,etec-rubens-de-faria-e-souza
Mecatrônica,Noite,139,40,3.47,2025,1,etec-rubens-de-faria-e-souza
Química,Noite,81,40,2.02,2025,1,etec-rubens-de-faria-e-souza
