curso,periodo,inscritos,vagas,demanda,ano,semestre,unidade
Desenvolvimento de Sistemas,Noite,92,40,2.29,2025,1,etec-sales-gomes
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec,Manhã,254,40,6.35,2025,1,etec-sales-gomes
Ensino Médio com Habilitação Profissional de Técnico em Desenvolvimento de Sistemas - MTec,Manhã,271,40,6.77,2025,1,etec-sales-gomes
Ensino Médio com Habilitação Profissional de Técnico em Farmácia - MTec,Tarde,146,40,3.65,2025,1,etec-sales-gomes
Ensino Médio com Habilitação Profissional de Técnico em Mecânica - MTec,Manhã,129,40,3.22,2025,1,etec-sales-gomes
Ensino Médio com Habilitação Profissional de Técnico em Mecatrônica - MTec,Tarde,65,40,1.62,2025,1,etec-sales-gomes
Ensino Médio com Habilitação Profissional de Técnico em Mecatrônica - MTec-N,Noite,66,40,1.65,2025,1,etec-sales-gomes
Ensino Médio com Habilitação Profissional de Técnico em Meio Ambiente - MTec,Tarde,71,40,1.77,2025,1,etec-sales-gomes
Ensino Médio com Habilitação Profissional de Técnico em Nutrição e Dietética - MTec,Manhã,246,40,6.15,2025,1,etec-sales-gomes
Ensino Médio com Habilitação Profissional de Técnico em Química - MTec,Manhã,124,40,3.1,2025,1,etec-sales-gomes
Mecânica,Noite,77,40,1.92,2025,1,etec-sales-gomes
Meio Ambiente,Noite,39,40,0.97,2025,1,etec-sales-gomes
