curso,periodo,inscritos,vagas,demanda,ano,semestre,unidade
Administração,Noite,45,40,1.12,2025,1,etec-sao-mateus
Eletrônica - 20% On-line,Noite,47,40,1.17,2025,1,etec-sao-mateus
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec,Manhã,295,40,7.37,2025,1,etec-sao-mateus
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec,Tarde,100,40,2.5,2025,1,etec-sao-mateus
Ensino Médio com Habilitação Profissional de Técnico em Desenvolvimento de Sistemas - MTec,Manhã,397,40,9.92,2025,1,etec-sao-mateus
Ensino Médio com Habilitação Profissional de Técnico em Meio Ambiente - MTec,Tarde,80,40,2,2025,1,etec-sao-mateus
Ensino Médio com Habilitação Profissional de Técnico em Nutrição e Dietética - MTec,Manhã,296,40,7.4,2025,1,etec-sao-mateus
Ensino Médio com Habilitação Profissional de Técnico em Nutrição e Dietética - MTec,Tarde,111,40,2.77,2025,1,etec-sao-mateus
Nutrição e Dietética,Noite,74,40,1.85,2025,1,etec-sao-mateus
Segurança do Trabalho,Noite,51,40,1.27,2025,1,etec-sao-mateus
