curso,periodo,inscritos,vagas,demanda,ano,semestre,unidade
Eletrotécnica,Noite,67,40,1.67,2025,1,etec-tereza-aparecida-cardoso-nunes-de-oliveira
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec,Manhã,260,40,6.5,2025,1,etec-tereza-aparecida-cardoso-nunes-de-oliveira
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec-N,Noite,26,40,0.65,2025,1,etec-tereza-aparecida-cardoso-nunes-de-oliveira
Ensino Médio com Habilitação Profissional de Técnico em Automação Industrial - MTec,Tarde,64,40,1.6,2025,1,etec-tereza-aparecida-cardoso-nunes-de-oliveira
Ensino Médio com Habilitação Profissional de Técnico em Comércio Exterior - MTec,Tarde,56,40,1.4,2025,1,etec-tereza-aparecida-cardoso-nunes-de-oliveira
Ensino Médio com Habilitação Profissional de Técnico em Eletroeletrônica  - MTec,Manhã,94,40,2.35,2025,1,etec-tereza-aparecida-cardoso-nunes-de-oliveira
Ensino Médio com Habilitação Profissional de Técnico em Eletrônica - MTec,Tarde,48,40,1.2,2025,1,etec-tereza-aparecida-cardoso-nunes-de-oliveira
Ensino Médio com Habilitação Profissional de Técnico em Recursos Humanos - MTec,Tarde,78,40,1.95,2025,1,etec-tereza-aparecida-cardoso-nunes-de-oliveira
Ensino Médio com Habilitação Profissional de Técnico em Secretariado - MTec,Manhã,102,40,2.54,2025,1,etec-tereza-aparecida-cardoso-nunes-de-oliveira
Ensino Médio com Habilitação Profissional de Técnico em Serviços Jurídicos - MTec,Manhã,328,40,8.19,2025,1,etec-tereza-aparecida-cardoso-nunes-de-oliveira
Ensino Médio com Habilitação Profissional de Técnico em Serviços Jurídicos - MTec-N,Noite,33,40,0.82,2025,1,etec-tereza-aparecida-cardoso-nunes-de-oliveira
