curso,periodo,inscritos,vagas,demanda,ano,semestre,unidade
Administração,Noite,74,40,1.85,2025,1,etec-vasco-antonio-venchiarutti
Agrimensura,Noite,51,40,1.27,2025,1,etec-vasco-antonio-venchiarutti
Desenvolvimento de Sistemas,Noite,113,40,2.82,2025,1,etec-vasco-antonio-venchiarutti
Edificações,Noite,80,40,2,2025,1,etec-vasco-antonio-venchiarutti
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec,Tarde,203,40,5.07,2025,1,etec-vasco-antonio-venchiarutti
Ensino Médio com Habilitação Profissional de Técnico em Desenvolvimento de Sistemas - MTec,Tarde,100,40,2.5,2025,1,etec-vasco-antonio-venchiarutti
Ensino Médio com Habilitação Profissional de Técnico em Desenvolvimento de Sistemas - MTec,Manhã,446,40,11.15,2025,1,etec-vasco-antonio-venchiarutti
Ensino Médio com Habilitação Profissional de Técnico em Design de Interiores - MTec-N,Noite,56,40,1.4,2025,1,etec-vasco-antonio-venchiarutti
Ensino Médio com Habilitação Profissional de Técnico em Design de Interiores - MTec-PI,Manhã e Tarde,238,40,5.95,2025,1,etec-vasco-antonio-venchiarutti
Ensino Médio com Habilitação Profissional de Técnico em Edificações - MTec-PI,Manhã e Tarde,195,40,4.87,2025,1,etec-vasco-antonio-venchiarutti
Ensino Médio com Habilitação Profissional de Técnico em Informática para Internet - MTec,Manhã,227,40,5.67,2025,1,etec-vasco-antonio-venchiarutti
Ensino Médio com Habilitação Profissional de Técnico em Logística - MTec,Manhã,174,40,4.34,2025,1,etec-vasco-antonio-venchiarutti
Ensino Médio com Habilitação Profissional de Técnico em Logística - Mtec-N,Noite,28,40,0.7,2025,1,etec-vasco-antonio-venchiarutti
Ensino Médio com Habilitação Profissional de Técnico em Meio Ambiente - MTec,Tarde,144,40,3.6,2025,1,etec-vasco-antonio-venchiarutti
Ensino Médio com Habilitação Profissional de Técnico em Recursos Humanos - MTec,Tarde,120,40,3,2025,1,etec-vasco-antonio-venchiarutti
Ensino Médio com Habilitação Profissional de Técnico em Segurança do Trabalho - MTec,Tarde,116,40,2.9,2025,1,etec-vasco-antonio-venchiarutti
Meio Ambiente,Noite,31,40,0.77,2025,1,etec-vasco-antonio-venchiarutti
Segurança do Trabalho,Noite,78,40,1.95,2025,1,etec-vasco-antonio-venchiarutti
