curso,periodo,inscritos,vagas,demanda,ano,semestre,unidade
Administração - 20% On-line,Manhã,44,35,1.25,2025,1,etec-zona-leste
Administração - 20% On-line,Noite,53,70,0.75,2025,1,etec-zona-leste
Contabilidade,Noite,53,35,1.51,2025,1,etec-zona-leste
Desenvolvimento de Sistemas - 20% On-line,Noite,124,35,3.54,2025,1,etec-zona-leste
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec,Tarde,164,35,4.68,2025,1,etec-zona-leste
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec,Manhã,457,35,13.05,2025,1,etec-zona-leste
Ensino Médio com Habilitação Profissional de Técnico em Desenvolvimento de Sistemas - MTec,Manhã,730,35,20.85,2025,1,etec-zona-leste
Ensino Médio com Habilitação Profissional de Técnico em Logística - MTec,Tarde,110,35,3.14,2025,1,etec-zona-leste
Ensino Médio com Habilitação Profissional de Técnico em Logística - Mtec-N,Noite,24,35,0.68,2025,1,etec-zona-leste
Ensino Médio com Habilitação Profissional de Técnico em Recursos Humanos - MTec,Manhã,272,35,7.77,2025,1,etec-zona-leste
Serviços Jurídicos - 20% On-line,Noite,88,35,2.51,2025,1,etec-zona-leste
