curso,periodo,inscritos,vagas,demanda,ano,semestre,unidade
Administração,Noite,48,30,1.6,2025,1,etec-abdias-do-nascimento-ceu-casa-blanca
Administração - 20% On-line,Noite,31,40,0.77,2025,1,etec-abdias-do-nascimento
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec,Tarde,73,40,1.82,2025,1,etec-abdias-do-nascimento
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec,Manhã,179,40,4.47,2025,1,etec-abdias-do-nascimento
Ensino Médio com Habilitação Profissional de Técnico em Desenvolvimento de Sistemas - MTec,Manhã,198,40,4.95,2025,1,etec-abdias-do-nascimento
Ensino Médio com Habilitação Profissional de Técnico em Desenvolvimento de Sistemas - MTec,Tarde,75,40,1.87,2025,1,etec-abdias-do-nascimento
Ensino Médio com Habilitação Profissional de Técnico em Marketing - MTec-N,Noite,34,40,0.85,2025,1,etec-abdias-do-nascimento
Ensino Médio com Habilitação Profissional de Técnico em Recursos Humanos - MTec,Manhã,78,40,1.95,2025,1,etec-abdias-do-nascimento
Ensino Médio com Habilitação Profissional de Técnico em Segurança do Trabalho - MTec,Manhã,47,40,1.17,2025,1,etec-abdias-do-nascimento
Administração,Noite,79,40,1.97,2025,1,etec-adolpho-berezin
Enfermagem,Tarde,122,40,3.05,2025,1,etec-adolpho-berezin
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec,Tarde,184,40,4.59,2025,1,etec-adolpho-berezin
Ensino Médio com Habilitação Profissional de Técnico em Desenvolvimento de Sistemas - MTec,Tarde,200,40,5,2025,1,etec-adolpho-berezin
Ensino Médio com Habilitação Profissional de Técnico em Edificações - Mtec-N,Noite,66,40,1.65,2025,1,etec-adolpho-berezin
Ensino Médio com Habilitação Profissional de Técnico em Turismo Receptivo - MTec-N,Noite,61,40,1.52,2025,1,etec-adolpho-berezin
Ensino Médio com Itinerário Formativo de Ciências Humanas e Sociais Aplicadas,Manhã,147,35,4.2,2025,1,etec-adolpho-berezin
Ensino Médio com Itinerário Formativo de Matemática e suas Tecnologias,Manhã,120,35,3.42,2025,1,etec-adolpho-berezin
Informática,Noite,91,40,2.27,2025,1,etec-adolpho-berezin
Administração,Noite,68,40,1.7,2025,1,etec-albert-einstein
Comércio Exterior,Noite,66,40,1.65,2025,1,etec-albert-einstein
Desenvolvimento de Sistemas,Noite,129,40,3.22,2025,1,etec-albert-einstein
Eletrônica,Noite,56,40,1.4,2025,1,etec-albert-einstein
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec,Manhã,297,40,7.42,2025,1,etec-albert-einstein
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec,Tarde,83,40,2.07,2025,1,etec-albert-einstein
Ensino Médio com Habilitação Profissional de Técnico em Desenvolvimento de Sistemas - MTec,Manhã,479,40,11.97,2025,1,etec-albert-einstein
Ensino Médio com Habilitação Profissional de Técnico em Design Gráfico - MTec,Manhã,291,40,7.27,2025,1,etec-albert-einstein
Ensino Médio com Habilitação Profissional de Técnico em Design Gráfico - MTec,Tarde,115,40,2.87,2025,1,etec-albert-einstein
Ensino Médio com Habilitação Profissional de Técnico em Eletrônica - MTec,Manhã,124,40,3.1,2025,1,etec-albert-einstein
Ensino Médio com Habilitação Profissional de Técnico em Eletrônica - MTec,Tarde,46,40,1.14,2025,1,etec-albert-einstein
Ensino Médio com Habilitação Profissional de Técnico em Informática para Internet - MTec,Tarde,100,40,2.5,2025,1,etec-albert-einstein
Ensino Médio com Habilitação Profissional de Técnico em Serviços Jurídicos - MTec,Manhã,396,40,9.9,2025,1,etec-albert-einstein
Ensino Médio com Itinerário Formativo de Ciências da Natureza e suas Tecnologias,Manhã,175,40,4.37,2025,1,etec-albert-einstein
Serviços Jurídicos,Noite,80,40,2,2025,1,etec-albert-einstein
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec-N,Noite,62,40,1.55,2025,1,etec-alberto-santos-dumont-em-jose-de-oliveira-santos-bertioga
Ensino Médio com Habilitação Profissional de Técnico em Eventos - MTec,Tarde,88,40,2.2,2025,1,etec-alberto-santos-dumont
Ensino Médio com Habilitação Profissional de Técnico em Gastronomia - MTec-N,Noite,58,40,1.45,2025,1,etec-alberto-santos-dumont
Ensino Médio com Habilitação Profissional de Técnico em Guia de Turismo - MTec,Tarde,82,40,2.04,2025,1,etec-alberto-santos-dumont
Ensino Médio com Habilitação Profissional de Técnico em Informática - MTec-N,Noite,177,40,4.42,2025,1,etec-alberto-santos-dumont
Ensino Médio com Habilitação Profissional de Técnico em Logística - Mtec-N,Noite,161,40,4.02,2025,1,etec-alberto-santos-dumont
Ensino Médio com Habilitação Profissional de Técnico em Secretariado - MTec,Tarde,137,40,3.42,2025,1,etec-alberto-santos-dumont
Ensino Médio com Itinerário Formativo de Ciências da Natureza e suas Tecnologias,Manhã,186,40,4.65,2025,1,etec-alberto-santos-dumont
Ensino Médio com Itinerário Formativo de Ciências Humanas e Sociais Aplicadas,Manhã,199,40,4.97,2025,1,etec-alberto-santos-dumont
Ensino Médio com Itinerário Formativo de Matemática e suas Tecnologias,Manhã,130,40,3.25,2025,1,etec-alberto-santos-dumont
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec,Tarde,70,40,1.75,2025,1,etec-alcides-cestari
Ensino Médio com Habilitação Profissional de Técnico em Marketing - MTec,Manhã,91,40,2.27,2025,1,etec-alcides-cestari
Ensino Médio com Habilitação Profissional de Técnico em Recursos Humanos - MTec,Manhã,81,40,2.02,2025,1,etec-alcides-cestari
Técnico em Qualidade,Noite,63,40,1.57,2025,1,etec-alcides-cestari
Marketing,Noite,65,40,1.62,2025,1,etec-amim-jundi-etec-amim-jundi-emef-profa-zizi-pereira-de-souza-parapuaparapua
Açúcar e Álcool,Noite,66,40,1.65,2025,1,etec-amim-jundi
Enfermagem,Noite,77,40,1.92,2025,1,etec-amim-jundi
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec,Manhã,206,40,5.15,2025,1,etec-amim-jundi
Ensino Médio com Habilitação Profissional de Técnico em Desenvolvimento de Sistemas - MTec,Manhã,166,40,4.15,2025,1,etec-amim-jundi
Ensino Médio com Habilitação Profissional de Técnico em Química - MTec,Manhã,145,40,3.62,2025,1,etec-amim-jundi
Ensino Médio com Habilitação Profissional de Técnico em Recursos Humanos - MTec,Manhã,165,40,4.12,2025,1,etec-amim-jundi
Ensino Médio com Itinerário Formativo de Ciências Humanas e Sociais Aplicadas,Manhã,155,40,3.87,2025,1,etec-amim-jundi
Farmácia,Noite,97,40,2.42,2025,1,etec-amim-jundi
Informática,Noite,88,40,2.2,2025,1,etec-amim-jundi
Logística,Noite,62,40,1.55,2025,1,etec-amim-jundi
Meio Ambiente,Noite,62,40,1.55,2025,1,etec-amim-jundi
Redes de Computadores,Noite,60,40,1.5,2025,1,etec-amim-jundi
Segurança do Trabalho,Noite,77,40,1.92,2025,1,etec-amim-jundi
Administração,Noite,47,40,1.17,2025,1,etec-angelo-cavalheiro
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec,Manhã,225,80,2.81,2025,1,etec-angelo-cavalheiro
Ensino Médio com Habilitação Profissional de Técnico em Química - MTec,Tarde,127,80,1.58,2025,1,etec-angelo-cavalheiro
Farmácia,Noite,53,40,1.32,2025,1,etec-angelo-cavalheiro
Administração,Noite,50,40,1.25,2025,1,etec-antonio-de-padua-cardoso
Desenvolvimento de Sistemas,Noite,38,40,0.95,2025,1,etec-antonio-de-padua-cardoso
Enfermagem,Tarde,67,40,1.67,2025,1,etec-antonio-de-padua-cardoso
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec-PI,Manhã e Tarde,73,40,1.82,2025,1,etec-antonio-de-padua-cardoso
Ensino Médio com Habilitação Profissional de Técnico em Desenvolvimento de Sistemas - MTec-PI,Manhã e Tarde,63,40,1.57,2025,1,etec-antonio-de-padua-cardoso
Ensino Médio com Habilitação Profissional de Técnico em Informática para Internet - MTec,Tarde,33,40,0.82,2025,1,etec-antonio-de-padua-cardoso
Ensino Médio com Habilitação Profissional de Técnico em Mecânica - MTec-PI,Manhã e Tarde,80,40,2,2025,1,etec-antonio-de-padua-cardoso
Ensino Médio com Habilitação Profissional de Técnico em Recursos Humanos - MTec,Manhã,104,40,2.6,2025,1,etec-antonio-de-padua-cardoso
Ensino Médio com Itinerário Formativo de Matemática e suas Tecnologias,Manhã,96,40,2.4,2025,1,etec-antonio-de-padua-cardoso
Farmácia,Noite,60,40,1.5,2025,1,etec-antonio-de-padua-cardoso
Mecânica,Noite,63,40,1.57,2025,1,etec-antonio-de-padua-cardoso
Recursos Humanos,Noite,44,40,1.1,2025,1,etec-antonio-de-padua-cardoso
Administração,Noite,33,40,0.82,2025,1,etec-antonio-devisate-ee-cultura-e-liberdade
Ensino Médio com Habilitação Profissional de Técnico em Serviços Jurídicos - MTec-N,Noite,27,40,0.67,2025,1,etec-antonio-devisate-ee-monsenhor-bicudo
Logística,Noite,52,40,1.3,2025,1,etec-antonio-devisate-ee-monsenhor-bicudo
Administração,Noite,53,40,1.32,2025,1,etec-antonio-devisate
Desenvolvimento de Sistemas,Noite,63,40,1.57,2025,1,etec-antonio-devisate
Enfermagem,Tarde,50,40,1.25,2025,1,etec-antonio-devisate
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec-PI,Manhã e Tarde,209,40,5.22,2025,1,etec-antonio-devisate
Ensino Médio com Habilitação Profissional de Técnico em Contabilidade - MTec-N,Noite,30,40,0.75,2025,1,etec-antonio-devisate
Ensino Médio com Habilitação Profissional de Técnico em Desenvolvimento de Sistemas - MTec-PI,Manhã e Tarde,273,40,6.82,2025,1,etec-antonio-devisate
Segurança do Trabalho,Noite,45,40,1.12,2025,1,etec-antonio-devisate
Desenvolvimento de Sistemas,Noite,181,40,4.52,2025,1,etec-antonio-furlan
Enfermagem,Tarde,122,40,3.05,2025,1,etec-antonio-furlan
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec,Manhã,550,40,13.75,2025,1,etec-antonio-furlan
Ensino Médio com Habilitação Profissional de Técnico em Contabilidade - MTec,Manhã,171,40,4.27,2025,1,etec-antonio-furlan
Ensino Médio com Habilitação Profissional de Técnico em Informática para Internet - MTec,Manhã,724,40,18.1,2025,1,etec-antonio-furlan
Ensino Médio com Habilitação Profissional de Técnico em Marketing - MTec-N,Noite,99,40,2.47,2025,1,etec-antonio-furlan
Ensino Médio com Habilitação Profissional de Técnico em Recursos Humanos - MTec,Manhã,282,40,7.05,2025,1,etec-antonio-furlan
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec-N,Noite,69,40,1.72,2025,1,etec-antonio-junqueira-da-veiga
Ensino Médio com Habilitação Profissional de Técnico em Agropecuária - MTec-PI,Manhã e Tarde,99,40,2.47,2025,1,etec-antonio-junqueira-da-veiga
Ensino Médio com Habilitação Profissional de Técnico em Informática para Internet - MTec,Tarde,103,40,2.57,2025,1,etec-antonio-junqueira-da-veiga
Ensino Médio com Habilitação Profissional de Técnico em Nutrição e Dietética - MTec,Manhã,138,40,3.45,2025,1,etec-antonio-junqueira-da-veiga
Ensino Médio com Habilitação Profissional de Técnico em Química - MTec,Manhã,89,40,2.22,2025,1,etec-antonio-junqueira-da-veiga
Recursos Humanos,Noite,62,40,1.55,2025,1,etec-antonio-junqueira-da-veiga
Agenciamento de Viagem,Noite,40,40,1,2025,1,etec-aristoteles-ferreira
Desenho de Construção Civil,Noite,43,40,1.07,2025,1,etec-aristoteles-ferreira
Edificações,Noite,53,40,1.32,2025,1,etec-aristoteles-ferreira
Eletrônica - 20% On-line,Noite,51,40,1.27,2025,1,etec-aristoteles-ferreira
Eletrotécnica,Noite,143,40,3.57,2025,1,etec-aristoteles-ferreira
Ensino Médio com Habilitação Profissional de Técnico em Automação Industrial - MTec,Tarde,96,36,2.66,2025,1,etec-aristoteles-ferreira
Ensino Médio com Habilitação Profissional de Técnico em Desenvolvimento de Sistemas - MTec - AMS,Manhã,361,36,10.02,2025,1,etec-aristoteles-ferreira
Ensino Médio com Habilitação Profissional de Técnico em Edificações - MTec,Tarde,95,36,2.63,2025,1,etec-aristoteles-ferreira
Ensino Médio com Habilitação Profissional de Técnico em Eletrônica - MTec,Manhã,88,36,2.44,2025,1,etec-aristoteles-ferreira
Ensino Médio com Habilitação Profissional de Técnico em Eletrotécnica - MTec,Manhã,102,36,2.83,2025,1,etec-aristoteles-ferreira
Ensino Médio com Habilitação Profissional de Técnico em Informática para Internet - MTec,Manhã,367,36,10.19,2025,1,etec-aristoteles-ferreira
Ensino Médio com Habilitação Profissional de Técnico em Mecânica - Mtec-N,Noite,44,36,1.22,2025,1,etec-aristoteles-ferreira
Ensino Médio com Habilitação Profissional de Técnico em Programação de Jogos Digitais - MTec,Tarde,187,36,5.19,2025,1,etec-aristoteles-ferreira
Guia de Turismo Internacional - Especialização,Noite,49,36,1.36,2025,1,etec-aristoteles-ferreira
Informática,Tarde,74,40,1.85,2025,1,etec-aristoteles-ferreira
Mecânica,Noite,104,40,2.6,2025,1,etec-aristoteles-ferreira
Mecatrônica,Noite,65,40,1.62,2025,1,etec-aristoteles-ferreira
Soldagem,Noite,66,40,1.65,2025,1,etec-aristoteles-ferreira
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec-N,Noite,79,35,2.25,2025,1,etec-armando-pannunzio-emef-vereadora-celia-dias-batista-dos-santos-salto-de-pirapora
