curso,periodo,inscritos,vagas,demanda,ano,semestre,unidade,lon,lat,curso_resumido,unidade_pad,code_muni,name_muni,code_state,abbrev_state
Administração,Noite,48,30,1.6,2025,1,etec-abdias-do-nascimento-ceu-casa-blanca,-46.7278443,-23.6213747,Administração,etec-abdias-do-nascimento-ceu-casa-bl...,3550308,São Paulo,35,SP
Administração - 20% On-line,Noite,31,40,0.77,2025,1,etec-abdias-do-nascimento,-46.7278443,-23.6213747,Administração,etec-abdias-do-nascimento,3550308,São Paulo,35,SP
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec,Tarde,73,40,1.82,2025,1,etec-abdias-do-nascimento,-46.7278443,-23.6213747,Administração,etec-abdias-do-nascimento,3550308,São Paulo,35,SP
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec,Manhã,179,40,4.47,2025,1,etec-abdias-do-nascimento,-46.7278443,-23.6213747,Administração,etec-abdias-do-nascimento,3550308,São Paulo,35,SP
Ensino Médio com Habilitação Profissional de Técnico em Desenvolvimento de Sistemas - MTec,Manhã,198,40,4.95,2025,1,etec-abdias-do-nascimento,-46.7278443,-23.6213747,Desenvolvimento de Sistemas,etec-abdias-do-nascimento,3550308,São Paulo,35,SP
Ensino Médio com Habilitação Profissional de Técnico em Desenvolvimento de Sistemas - MTec,Tarde,75,40,1.87,2025,1,etec-abdias-do-nascimento,-46.7278443,-23.6213747,Desenvolvimento de Sistemas,etec-abdias-do-nascimento,3550308,São Paulo,35,SP
Ensino Médio com Habilitação Profissional de Técnico em Marketing - MTec-N,Noite,34,40,0.85,2025,1,etec-abdias-do-nascimento,-46.7278443,-23.6213747,Marketing,etec-abdias-do-nascimento,3550308,São Paulo,35,SP
Ensino Médio com Habilitação Profissional de Técnico em Recursos Humanos - MTec,Manhã,78,40,1.95,2025,1,etec-abdias-do-nascimento,-46.7278443,-23.6213747,Recursos Humanos,etec-abdias-do-nascimento,3550308,São Paulo,35,SP
Ensino Médio com Habilitação Profissional de Técnico em Segurança do Trabalho - MTec,Manhã,47,40,1.17,2025,1,etec-abdias-do-nascimento,-46.7278443,-23.6213747,Segurança do Trabalho,etec-abdias-do-nascimento,3550308,São Paulo,35,SP
Administração,Noite,79,40,1.97,2025,1,etec-adolpho-berezin,-46.678684,-24.12219,Administração,etec-adolpho-berezin,3531100,Mongaguá,35,SP
Enfermagem,Tarde,122,40,3.05,2025,1,etec-adolpho-berezin,-46.678684,-24.12219,Enfermagem,etec-adolpho-berezin,3531100,Mongaguá,35,SP
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec,Tarde,184,40,4.59,2025,1,etec-adolpho-berezin,-46.678684,-24.12219,Administração,etec-adolpho-berezin,3531100,Mongaguá,35,SP
Ensino Médio com Habilitação Profissional de Técnico em Desenvolvimento de Sistemas - MTec,Tarde,200,40,5,2025,1,etec-adolpho-berezin,-46.678684,-24.12219,Desenvolvimento de Sistemas,etec-adolpho-berezin,3531100,Mongaguá,35,SP
Ensino Médio com Habilitação Profissional de Técnico em Edificações - Mtec-N,Noite,66,40,1.65,2025,1,etec-adolpho-berezin,-46.678684,-24.12219,Edificações,etec-adolpho-berezin,3531100,Mongaguá,35,SP
Ensino Médio com Habilitação Profissional de Técnico em Turismo Receptivo - MTec-N,Noite,61,40,1.52,2025,1,etec-adolpho-berezin,-46.678684,-24.12219,Turismo Receptivo,etec-adolpho-berezin,3531100,Mongaguá,35,SP
Ensino Médio com Itinerário Formativo de Ciências Humanas e Sociais Aplicadas,Manhã,147,35,4.2,2025,1,etec-adolpho-berezin,-46.678684,-24.12219,Ciências Humanas e Sociais Aplicadas,etec-adolpho-berezin,3531100,Mongaguá,35,SP
Ensino Médio com Itinerário Formativo de Matemática e suas Tecnologias,Manhã,120,35,3.42,2025,1,etec-adolpho-berezin,-46.678684,-24.12219,Matemática e suas Tecnologias,etec-adolpho-berezin,3531100,Mongaguá,35,SP
Informática,Noite,91,40,2.27,2025,1,etec-adolpho-berezin,-46.678684,-24.12219,Informática,etec-adolpho-berezin,3531100,Mongaguá,35,SP
Administração,Noite,68,40,1.7,2025,1,etec-albert-einstein,-46.6599827,-23.5049791,Administração,etec-albert-einstein,3550308,São Paulo,35,SP
Comércio Exterior,Noite,66,40,1.65,2025,1,etec-albert-einstein,-46.6599827,-23.5049791,Comércio Exterior,etec-albert-einstein,3550308,São Paulo,35,SP
Desenvolvimento de Sistemas,Noite,129,40,3.22,2025,1,etec-albert-einstein,-46.6599827,-23.5049791,Desenvolvimento de Sistemas,etec-albert-einstein,3550308,São Paulo,35,SP
Eletrônica,Noite,56,40,1.4,2025,1,etec-albert-einstein,-46.6599827,-23.5049791,Eletrônica,etec-albert-einstein,3550308,São Paulo,35,SP
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec,Manhã,297,40,7.42,2025,1,etec-albert-einstein,-46.6599827,-23.5049791,Administração,etec-albert-einstein,3550308,São Paulo,35,SP
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec,Tarde,83,40,2.07,2025,1,etec-albert-einstein,-46.6599827,-23.5049791,Administração,etec-albert-einstein,3550308,São Paulo,35,SP
Ensino Médio com Habilitação Profissional de Técnico em Desenvolvimento de Sistemas - MTec,Manhã,479,40,11.97,2025,1,etec-albert-einstein,-46.6599827,-23.5049791,Desenvolvimento de Sistemas,etec-albert-einstein,3550308,São Paulo,35,SP
Ensino Médio com Habilitação Profissional de Técnico em Design Gráfico - MTec,Manhã,291,40,7.27,2025,1,etec-albert-einstein,-46.6599827,-23.5049791,Design Gráfico,etec-albert-einstein,3550308,São Paulo,35,SP
